id,name,dateStart,dateEnd,type,questionQty
4680,Чемпионат Санкт-Петербурга. Первая лига,2017-10-29T11:00:00+03:00,2017-11-19T14:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15, '4': 15, '5': 15, '6': 15, '7': 15, '8': 15, '9': 15, '10': 15}"
4681,Азовский бриз,2018-01-18T20:30:00+03:00,2018-01-22T20:30:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12, '4': 12}"
4682,Холодная голова,2018-01-04T14:00:00+03:00,2018-01-06T12:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15, '4': 15, '5': 15, '6': 15}"
4683,Мемориал Дмитрия Павловца,2017-12-17T11:00:00+03:00,2017-12-17T14:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15}"
4684,Регулярный чемпионат МГУ. Второй игровой день,2017-12-11T19:00:00+03:00,2017-12-11T22:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 12, '2': 12, '3': 12}"
4685,ОВСЧ,2017-09-22T20:00:00+03:00,2018-02-20T20:00:00+03:00,"{'id': 5, 'name': 'Общий зачёт'}","{'1': 36, '2': 36, '3': 36, '4': 36, '5': 36, '6': 36}"
4687,Весенний салат,2018-05-25T19:00:00+03:00,2018-05-29T19:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4688,"Зеркало фестиваля ""Гостиный двор""",2017-12-15T18:00:00+03:00,2017-12-19T18:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4689,Кубок Сигулды,2018-01-13T14:00:00+03:00,2018-01-14T14:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 12, '2': 12, '3': 12}"
4690,Кубок Сигулды,2018-01-19T16:00:00+03:00,2018-01-23T16:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4691,Кубок Дружбы народов. Эпилог.,2017-12-15T17:00:00+03:00,2017-12-19T17:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 10, '2': 10, '3': 10, '4': 10}"
4692,Чемпионат Воронежа,2017-04-22T14:00:00+03:00,2017-04-23T00:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15}"
4693,Посошок Арончика,2017-12-15T14:00:00+03:00,2017-12-19T14:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4694,Чемпионат Красноярска,2017-11-26T08:00:00+03:00,2017-11-26T13:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 12, '2': 12, '3': 12, '4': 12, '5': 12, '6': 12}"
4695,Чемпионат Минска. Лига А. Тур третий,2017-12-11T19:00:00+03:00,2017-12-11T21:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 18, '2': 18}"
